tahun_anggaran,kd_klpd,nama_klpd,jenis_klpd,kd_satker,kd_program,kd_program_str,nama_program,pagu_program,kd_program_lokal,is_deleted,_event_date
2025,"D107","Kab. Bandung","KABUPATEN",152342,2535805,"1.03.05","PROGRAM PENGELOLAAN DAN PENGEMBANGAN SISTEM AIR LIMBAH",33163750856,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152342,2535806,"1.03.06","PROGRAM PENGELOLAAN DAN PENGEMBANGAN SISTEM DRAINASE",56691295434,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152342,2535807,"1.03.10","PROGRAM PENYELENGGARAAN JALAN",276422063233,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152342,2535808,"1.03.11","PROGRAM PENGEMBANGAN JASA KONSTRUKSI",1217482000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152342,2535809,"1.03.12","PROGRAM PENYELENGGARAAN PENATAAN RUANG",4132071900,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96027,2535991,"2.18.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",18835864414,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96027,2535994,"2.18.02","PROGRAM PENGEMBANGAN IKLIM PENANAMAN MODAL",1079803072,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96027,2535998,"2.18.03","PROGRAM PROMOSI PENANAMAN MODAL",443753040,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96027,2536000,"2.18.04","PROGRAM PELAYANAN PENANAMAN MODAL",224209649,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96027,2536002,"2.18.05","PROGRAM PENGENDALIAN PELAKSANAAN PENANAMAN MODAL",381093209,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96027,2536005,"2.18.06","PROGRAM PENGELOLAAN DATA DAN SISTEM INFORMASI PENANAMAN MODAL",42355162,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",361176,2536996,"2.16.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",1043444184,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60442,2540099,"4.01.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",55154130695,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60442,2540100,"4.01.02","PROGRAM PEMERINTAHAN DAN KESEJAHTERAAN RAKYAT",49223996108,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60442,2540101,"4.01.03","PROGRAM PEREKONOMIAN DAN PEMBANGUNAN",3646903954,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152132,2540287,"5.03.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",2034125633,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152132,2540288,"5.03.02","PROGRAM KEPEGAWAIAN DAERAH",3986296938,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152132,2540289,"5.04.02","PROGRAM PENGEMBANGAN SUMBER DAYA MANUSIA",7267943900,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60472,2540406,"7.01.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",581980370,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60472,2540407,"7.01.02","PROGRAM PENYELENGGARAAN PEMERINTAHAN DAN PELAYANAN PUBLIK",198588655,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60472,2540408,"7.01.06","PROGRAM PEMBINAAN DAN PENGAWASAN PEMERINTAHAN DESA",38095300,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60472,2540409,"7.01.05","PROGRAM PENYELENGGARAAN URUSAN PEMERINTAHAN UMUM",111238468,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60472,2540410,"7.01.04","PROGRAM KOORDINASI KETENTRAMAN DAN KETERTIBAN UMUM",19930300,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60472,2540411,"7.01.03","PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN",93267400,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96027,2540470,"2.18.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",7808827871,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96027,2540471,"2.18.02","PROGRAM PENGEMBANGAN IKLIM PENANAMAN MODAL",1079803072,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96027,2540472,"2.18.05","PROGRAM PENGENDALIAN PELAKSANAAN PENANAMAN MODAL",381093209,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96027,2540473,"2.18.03","PROGRAM PROMOSI PENANAMAN MODAL",293753040,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96027,2540474,"2.18.04","PROGRAM PELAYANAN PENANAMAN MODAL",224209649,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96027,2540475,"2.18.06","PROGRAM PENGELOLAAN DATA DAN SISTEM INFORMASI PENANAMAN MODAL",42355162,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152351,2540496,"3.30.06","PROGRAM STANDARDISASI DAN PERLINDUNGAN KONSUMEN",219415500,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152351,2540497,"3.30.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",5965527516,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152351,2540498,"3.30.04","PROGRAM STABILISASI HARGA BARANG KEBUTUHAN POKOK DAN BARANG PENTING",244411950,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152351,2540499,"3.30.03","PROGRAM PENINGKATAN SARANA DISTRIBUSI PERDAGANGAN",3196121795,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152351,2540500,"3.30.05","PROGRAM PENGEMBANGAN EKSPOR",192237500,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152351,2540501,"3.30.07","PROGRAM PENGGUNAAN DAN PEMASARAN PRODUK DALAM NEGERI",358841232,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152351,2540502,"3.29.05","PROGRAM PENGELOLAAN ENERGI BARU TERBARUKAN",81580000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152351,2540503,"3.30.02","PROGRAM PERIZINAN DAN PENDAFTARAN PERUSAHAAN",48166700,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152351,2540504,"3.31.04","PROGRAM PENGELOLAAN SISTEM INFORMASI INDUSTRI NASIONAL",254095400,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152351,2540505,"3.31.02","PROGRAM PERENCANAAN DAN PEMBANGUNAN INDUSTRI",5163927200,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152351,2540506,"3.31.03","PROGRAM PENGENDALIAN IZIN USAHA INDUSTRI",177889150,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60429,2540539,"1.05.03","PROGRAM PENANGGULANGAN BENCANA",4544323752,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60429,2540540,"1.05.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",3685636152,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60489,2544570,"7.01.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",816521096,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60489,2544571,"7.01.06","PROGRAM PEMBINAAN DAN PENGAWASAN PEMERINTAHAN DESA",63302200,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60489,2544572,"7.01.05","PROGRAM PENYELENGGARAAN URUSAN PEMERINTAHAN UMUM",111871000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60489,2544573,"7.01.03","PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN",111587800,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60489,2544574,"7.01.02","PROGRAM PENYELENGGARAAN PEMERINTAHAN DAN PELAYANAN PUBLIK",291545000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60489,2544575,"7.01.04","PROGRAM KOORDINASI KETENTRAMAN DAN KETERTIBAN UMUM",28200000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60493,2548206,"7.01.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",732646634,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60493,2548207,"7.01.05","PROGRAM PENYELENGGARAAN URUSAN PEMERINTAHAN UMUM",88000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60493,2548208,"7.01.03","PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN",192455765,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60493,2548209,"7.01.02","PROGRAM PENYELENGGARAAN PEMERINTAHAN DAN PELAYANAN PUBLIK",316160100,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60493,2548210,"7.01.06","PROGRAM PEMBINAAN DAN PENGAWASAN PEMERINTAHAN DESA",75698700,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60493,2548211,"7.01.04","PROGRAM KOORDINASI KETENTRAMAN DAN KETERTIBAN UMUM",36544800,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152341,2548452,"2.17.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",3650187737,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152341,2548453,"2.17.07","PROGRAM PEMBERDAYAAN USAHA MENENGAH, USAHA KECIL, DAN USAHA MIKRO (UMKM)",3022221060,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152341,2548454,"2.17.04","PROGRAM PENILAIAN KESEHATAN KSP/USP KOPERASI",314209145,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152341,2548455,"2.17.06","PROGRAM PEMBERDAYAAN DAN PERLINDUNGAN KOPERASI",2029096622,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152341,2548456,"2.17.05","PROGRAM PENDIDIKAN DAN LATIHAN PERKOPERASIAN",106289000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152341,2548457,"2.17.03","PROGRAM PENGAWASAN DAN PEMERIKSAAN KOPERASI",544154019,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152341,2548458,"2.17.08","PROGRAM PENGEMBANGAN UMKM",1526521815,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152341,2548459,"2.17.02","PROGRAM PELAYANAN IZIN USAHA SIMPAN PINJAM",0,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60471,2549163,"7.01.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",941922025,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60471,2549164,"7.01.03","PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN",117934400,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60471,2549165,"7.01.05","PROGRAM PENYELENGGARAAN URUSAN PEMERINTAHAN UMUM",81650000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60471,2549166,"7.01.04","PROGRAM KOORDINASI KETENTRAMAN DAN KETERTIBAN UMUM",16100000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60471,2549167,"7.01.06","PROGRAM PEMBINAAN DAN PENGAWASAN PEMERINTAHAN DESA",66150000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60471,2549168,"7.01.02","PROGRAM PENYELENGGARAAN PEMERINTAHAN DAN PELAYANAN PUBLIK",246300000,0,false,"2025-10-10"
