tahun_anggaran,kd_klpd,nama_klpd,jenis_klpd,kd_satker,kd_satker_str,nama_satker,kd_rup,detail_lokasi,kd_kab_kota,kab_kota,kd_provinsi,provinsi,_event_date
2025,"D107","Kab. Bandung","KABUPATEN",96020,"1.01.0.00.0.00.01.0000","DINAS PENDIDIKAN",56680540,"bandung kab",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96020,"1.01.0.00.0.00.01.0000","DINAS PENDIDIKAN",56680541,"bandung kab",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96020,"1.01.0.00.0.00.01.0000","DINAS PENDIDIKAN",56680621,"bandung kab",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152342,"1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",56680656,"Desa Panyirapan Kecamatan Soreang Kp.Jelekong Rt02/Rw 15",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",361176,"2.16.2.20.2.21.16.0000","DINAS KOMUNIKASI DAN INFORMATIKA, STATISTIK DAN PERSANDIAN",54231333,"DINAS KOMUNIKASI DAN INFORMATIKA STATISTIK DAN PERSANDIAN",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96020,"1.01.0.00.0.00.01.0000","DINAS PENDIDIKAN",56680759,"bandung kab",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96020,"1.01.0.00.0.00.01.0000","DINAS PENDIDIKAN",56680760,"bandung kab",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96020,"1.01.0.00.0.00.01.0000","DINAS PENDIDIKAN",56680761,"bandung kab",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96020,"1.01.0.00.0.00.01.0000","DINAS PENDIDIKAN",56680762,"bandung kab",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96020,"1.01.0.00.0.00.01.0000","DINAS PENDIDIKAN",56680763,"bandung kab",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152342,"1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",56680809,"Desa Jelegong Kecamatan Rancaekek RW 018 ",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,"2.07.3.32.0.00.09.0000","DINAS KETENAGAKERJAAN",56680933,"Disnaker Jl. Raya Soreang Km. 17",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96020,"1.01.0.00.0.00.01.0000","DINAS PENDIDIKAN",56682843,"Kabupaten Bandung",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
