tahun_anggaran,kd_klpd,nama_klpd,jenis_klpd,kd_satker,kd_program,kd_kegiatan,kd_subkegiatan,kd_subkegiatan_str,nama_subkegiatan,pagu_subkegiatan,kd_subkegiatan_lokal,is_deleted,_event_date
2025,"D107","Kab. Bandung","KABUPATEN",60458,2562421,13064866,14660569,"1.02.01.2.10.0059","Belanja Tagihan Telepon",30000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2562421,13064866,14660571,"1.02.01.2.10.0061","Belanja Tagihan Listrik",1080000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2562421,13064866,14660575,"1.02.01.2.10.0062","Belanja Langganan Jurnal/Surat Kabar/Majalah",1600000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2562421,13064866,14660577,"1.02.01.2.10.0063","Belanja Kawat/Faksimili/Internet/TV Berlangganan",130000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2562421,13064866,14660581,"1.02.01.2.10.0067","Belanja Pembayaran Pajak, Bea dan Perizinan",50000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2562421,13064866,14660780,"1.02.01.2.10.0036","Belanja Sewa Kendaraan Bermotor Penumpang",980000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2562421,13064866,14660797,"1.02.01.2.10.0117","Belanja Sewa Alat Kantor Lainnya",1150000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2562421,13064866,14660800,"1.02.01.2.10.0002","Belanja Sewa Bangunan Gudang",150000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2562421,13064866,14660921,"1.02.01.2.10.0005","Belanja Jasa Konsultansi Perencanaan Arsitektur-Jasa Arsitektur Lainnya",400000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2562421,13064866,14660923,"1.02.01.2.10.0018","Belanja Jasa Konsultansi Pengawasan Arsitektur",300000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2562421,13064866,14660925,"1.02.01.2.10.0006","Belanja Jasa Konsultansi Berorientasi Bidang-keuangan ",75000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2562421,13064866,14660929,"1.02.01.2.10.0014","Belanja Jasa Konsultansi Berorientasi Bidang-Jasa Khusus",170000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2562421,13064866,14660952,"1.02.01.2.10.0036","Belanja Pemeliharaan Alat Angkutan-Alat Angkutan Darat Bermotor-Kendaraan Bermotor Penumpang",60000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2562421,13064866,14661018,"1.02.01.2.10.0001","Belanja Pemeliharaan Bangunan Gedung-Bangunan Gedung Tempat Kerja-Bangunan Gedung Kantor",4000000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2562421,13064866,14661025,"1.02.01.2.10.0010","Belanja Pemeliharaan Jalan dan Jembatan-Jalan-Jalan Lainnya",200000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2562421,13064866,14661029,"1.02.01.2.10.9999","Belanja Modal Alat Kantor",800000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2562421,13064862,14661433,"1.02.01.2.08.0004","Jasa Keamanan Kantor",2266183920,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60458,2562421,13064862,14661437,"1.02.01.2.08.0004","Jasa Kebersihan Kantor",2675456080,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563379,13067280,14662288,"2.23.02.2.01.0011","Pengembangan Perpustakaan di Tingkat Daerah Kabupaten/Kota",231246416,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067281,14662289,"2.23.01.2.09.0002","Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan, Pajak dan Perizinan Kendaraan Dinas Operasional atau Lapangan",136830000,0,false,"2025-10-10"
